,TripId,ResNode,CommNode,HouseID
0,30170130-1,0,1,0
1,30004220-1,0,0,1
2,40149144-1,0,0,2
3,30048723-2,0,0,3
4,30312348-1,1,0,4
5,30179628-2,1,0,5
6,30104529-1,1,0,6
7,30202326-2,1,0,7
8,30307919-1,2,0,8
9,30037173-2,2,1,9
10,30269051-3,2,1,10
11,30134902-4,3,1,11
12,40003400-5,3,1,12
13,30394407-3,3,0,13
14,30542965-2,3,0,14
15,40008611-2,3,0,15
16,30146671-3,4,0,16
17,30043881-1,4,0,17
18,30155431-1,4,1,18
19,30424756-2,4,0,19
20,40620112-2,4,0,20
