,Obj Value,Regup Value,RegUpDispatch Value,Regdown Value,RegdownDispatch Value,Cost of Charging,Cost of RD,Degradation Cost,Objective Recalc
0,16.807290401560497,55.09503913027797,0.03384741288721511,5.4737982797391417e-11,3.584935831788372e-13,35.46051670349523,2.906475607977037e-11,22.823171913276795,-3.1548020735808144
1,25.144620844961455,46.44992551001014,0.2275833779062123,1.0443401508932336e-11,2.190087490476936e-13,35.213548756197845,5.168348402008098e-12,22.664217886897422,-11.200257755173418
2,28.855692203754142,39.70876649736684,0.2473161335776702,5.794581150690384e-11,7.021405925810113e-13,35.6565356623898,4.225311756208468e-11,22.949334045341452,-18.649787076770348
3,8.537917595820195,37.1030244358825,0.13638812092323072,5.559088734144779e-13,4.933914358043292e-15,34.46479602838273,4.372377683225319e-13,22.18230409053811,-19.407687562114983
4,25.43405078950493,33.88070784066011,0.15709731527932227,4.560807349797057e-12,8.584600152313199e-14,34.48590483468587,3.2206854573023822e-12,22.19589018455455,-22.643989863299563
5,37.016156518025575,35.71342541409977,0.23147734469523104,2.662268490111567e-12,8.582212536335877e-14,34.33179843893948,1.47512048672402e-12,22.096703903891154,-20.483599584034362
6,18.87748859620412,43.87459499136141,0.24863418613263313,1.4053732691667843e-12,1.3945363837134947e-14,34.97525958034119,1.2454619606406237e-12,22.510849709300608,-13.362880112147574
7,31.688389896095828,50.22792107367006,0.2034134757152847,7.118066162178008e-11,2.5654340116590847e-12,34.919610023533835,4.571850136813966e-11,22.475032424628353,-6.963307898748811
8,17.15576106310131,48.29324063418861,0.23726712857816915,6.911564659163674e-11,1.7111503481738097e-13,35.097563722106955,4.0411405179609173e-11,22.589567356203116,-9.156623315514423
9,41.775395664196104,35.74197822797558,0.17931976039383432,4.948011022809326e-12,2.148328583179378e-13,35.489718318656465,2.4590793956282124e-12,22.841966718237863,-22.410387048522217
10,11.904181671037588,37.125351818667255,0.1524226578532506,6.506163054879765e-13,8.355194536897271e-17,34.39939458523112,2.3297077023392194e-13,22.140210276936,-19.261830385646196
11,14.574923073138258,38.09146038973952,0.2617041002746303,1.0033172747704187e-10,4.689724723115449e-13,36.73405694277889,4.658990503713914e-11,23.642850545024068,-22.023742997734608
12,36.02810309969152,39.77328732543957,0.18666499655128438,0.7378945000003395,1.1359853149986023e-14,35.34884943464207,1.816834349161513e-12,22.751300392540905,-17.402303005193588
13,57.30698639321609,42.23548438363562,0.528881785631438,1.037357267705917,1.0213997834356127e-12,35.52675648730488,2.682087987511799e-11,22.865805301431863,-14.590838351789563
14,31.97171998097653,40.99869464604322,0.5813530572578525,1.233190082371513e-10,2.206626068281235e-12,36.42238707272321,6.681199048860181e-11,23.442252931349657,-18.28459230071308
15,42.48415861629799,53.4890992567882,0.21923552175954122,1.1618017164684506e-10,8.873159494838372e-13,35.24474528090829,5.339729114993793e-11,22.68429665878117,-4.220707161078046
16,42.68794447613865,63.39464544484231,0.18064561633880932,3.672798586192686e-12,6.799651463828667e-14,36.633073716664825,1.495479378429798e-12,23.5778555104326,3.364361834085944
17,50.82790976321743,74.34739026952509,0.15228498670219018,2.0645133495370153e-11,2.62932978927062e-13,36.56746124958197,1.2680980471843059e-11,23.535625877042506,14.39658812961104
18,65.75154557731753,93.14814663974495,0.15919567860834863,6.172123991547137e-11,7.724850990060039e-13,37.946089091764286,2.3667161249052893e-11,24.422941211571352,30.938312015056486
19,113.0531608075997,106.91806713704551,0.02786515679105573,4.619847269998797e-10,2.1244190850081936e-11,38.517895852865735,3.256404514146184e-10,24.790968671275238,43.637067769853175
20,83.87760854745999,115.4384629464393,0.12812511432867316,1.621361310268957e-11,4.581418266100196e-13,37.65477067616528,1.0485337768156074e-11,24.235442244014365,53.6763751405945
21,122.04653907904427,136.03727568938328,0.34837261293159794,5.931206047892244e-12,4.004527523172258e-13,38.17468323618308,3.768080441613806e-12,24.57006945308854,73.64089561304583
22,181.83178618715056,152.86201099414464,1.6341222552998156,1.3718488000752032,4.381661834793142e-12,41.468675006486905,4.02048868294227e-11,26.690155324057127,87.70915171893981
23,307.1539187706762,230.95257978082097,1.9116663393609479,2.7920773879071565,0.21702425564685343,41.53859318286353,0.2395897247375204,26.995988708678908,167.09917614745598
24,303.4081606291715,349.4752544611058,0.23344466599928795,1.652550783572304e-12,1.1548409377027167e-13,39.07142591003533,1.2728164639688732e-12,25.147232848067844,285.49004036900243
25,122.31220085174078,165.8308091215639,0.3377073813719653,8.121671491949375e-12,4.441385344012933e-13,38.74704612924168,8.051683161491461e-12,24.938454855139316,102.48301551855539
26,95.88763285424298,134.1268050177784,0.46324899084773824,0.4816837427043522,0.14635694862236745,38.45338895920082,0.3168817526892342,25.060029970933986,71.3877940171288
27,97.98688993251386,103.45368084667547,0.24292830364456786,0.7653810166744202,1.5972088226830479e-12,37.42786774858749,1.1470207000088814e-11,25.342821011454255,41.691301406942834
28,53.69749955251664,86.800164777205,0.18364066330854634,2.050818369744656e-11,1.0527642138200797e-12,36.50280460321885,2.119546655717663e-11,23.600638692842153,26.88036214445291
29,72.78309187729359,83.01564878098036,0.15784461917932088,1.3602237675595441e-11,1.4702751397908108e-12,36.95234962398577,1.2018908836090571e-11,23.88997579932651,22.331167976850434
30,2158.868725313666,2573.602943483061,9.993698760129664,7.186242716299479,0.36338120431050597,1099.4275668591636,0.5564714782658297,709.6539545168578,781.5082733095139
