,Obj Value,Regup Value,RegUpDispatch Value,Regdown Value,RegdownDispatch Value
0,475.083015639008,259.648222830457,0.0,309.48443853359424,0.0
1,206.85534158000908,248.87313806965534,0.3931742750080013,6.140676152167331e-11,7.37472074461935e-13
2,251.03012469658145,242.74522531707277,0.9883463202427504,5.582919019645408e-09,1.9231838840834178e-10
3,249.76541036915577,212.03000769272555,3.1183294522400766,4.1437120787657275e-09,1.300073832784667e-10
4,297.69747525308753,210.51994067157074,3.0472030808049566,2.977591803112883e-11,1.460669996632294e-12
5,333.6150213373644,211.04181283769816,3.81666272370102,4.3688357376327065e-12,1.5521200083954346e-13
6,355.4388022576369,193.86572918061873,4.148762941415057,1.628731141188462e-11,1.095682436492394e-12
7,378.70541727059464,179.31942603488724,5.295629443728833,1.490375073719959e-11,1.018035367065856e-12
8,377.8081351153258,170.09592342644027,6.987279759885189,1.882173151255219e-12,8.136181411521375e-14
9,390.5147208182809,160.99505557947126,7.67312744570951,2.0595179882739112e-12,1.1044433943258812e-13
10,696.1436279799943,139.78706165265444,8.858455701826434,298.8844840261703,0.0
