,Obj Value,Regup Value,RegUpDispatch Value,Regdown Value,RegdownDispatch Value
0,799.286705546126,269.5881827112462,0.0,529.6985230339494,0.0
1,312.22004082501576,255.79169469968053,0.32084100186215986,1.224358299995634e-08,4.1180597551781983e-10
2,339.6347954260931,246.33682861440042,2.7037138042287108,1.9035870394275542e-11,1.134525362026237e-13
3,379.97324123985726,230.4364903842201,2.3224088719889626,1.4322335779060704e-07,2.2106846826369586e-09
4,402.52713767856886,222.17060186117715,4.236590941892931,1.2435273941811282e-09,2.272830849368963e-11
5,418.6156099334118,211.46778495148396,6.743852130983567,1.1325424936737576e-08,2.0962936034980113e-10
6,466.07442261232546,197.05350678434215,5.305006064927558,1.5502900612495605e-06,3.3989644766945414e-08
7,472.9541253179004,181.9348712262073,6.945558272952647,4.4564959502218936e-08,8.945464997728494e-10
8,499.2815805329001,174.2633835610065,7.5068582949549105,2.198878627352129e-08,4.029944871471454e-10
9,499.9029796010022,161.55576515927856,9.230301215626005,4.6170859689399755e-07,9.65991650963798e-10
10,1045.4149293825749,147.1851556551967,9.505871523132186,523.0870697668565,0.0
