,Cycles0.0,Cycles0.1,Cycles0.2,Cycles0.3,Cycles0.4,Cycles0.5,Cycles0.6,Cycles0.7,Cycles0.8,Cycles0.9,Cycles1.0
0,4.51871171295643e-09,0.03969694104373767,0.09049284301778471,0.20925337409532685,0.2767069098378094,0.3071018582325262,0.4510188454260394,0.47510610490892413,0.6221578120226456,0.7096396666434162,0.8456382272404647
1,3.520073766302687e-09,0.03578779195186502,0.06092607355056676,0.09932529934402423,0.21109327049547974,0.11264537005480875,0.19474518502524285,0.2190354966698029,0.30045402068266913,0.41586360263559696,0.36701553446610186
2,3.7761230657301245e-09,0.04145883808620104,0.074519652815869,0.21125217733302684,0.25017858233525725,0.23943302380140238,0.39697711644314165,0.36996428262653697,0.5039810909840022,0.5669750289507944,0.5955422541423189
3,3.80372808761438e-09,0.04158426211796678,0.07433510027895308,0.2112900930225767,0.24897801163341304,0.24183128234631604,0.40092101015060283,0.3786408180219048,0.517071897087328,0.5834280528362592,0.6156754080238661
4,4.341823574539424e-09,0.051335694590193666,0.08356125023378995,0.2545180454525563,0.2811912274026697,0.3371207352279655,0.6123101647366986,0.6604296022222761,0.8665611627768346,1.0307774737064352,1.1042993824224725
5,4.06988713065522e-09,0.03635055281184536,0.09493532057637785,0.1777812151896573,0.23781878834152134,0.3542259804469811,0.5503975570469841,0.6026943331534838,0.6559320326388146,0.7502142155563364,0.7428609754985861
6,4.443098312584284e-09,0.0689983318306721,0.09714213341074925,0.27600955741429856,0.29185934379420286,0.3118226655245253,0.5197210780878817,0.4928362470530526,0.6708178442134157,0.7521658580786762,0.7647573339654067
7,3.491711506517897e-09,0.0614807865573348,0.06443537882909157,0.22540178991426763,0.25708645847162,0.25270131639570625,0.37724114450791396,0.3724020546470822,0.4948448297627794,0.5542421091488419,0.5653834939399982
8,4.4161816203942816e-09,0.05133771352799062,0.09048091631373742,0.25750951967436064,0.28503785542829374,0.35024643342763606,0.622316230206429,0.6644223346235608,0.8815283411382894,1.0627691715004286,1.1533791351171818
9,4.262827303162338e-09,0.049495299403406315,0.10102977918590204,0.1826049106006482,0.2416259040484313,0.22652142913119455,0.3251230296165459,0.3528455776512135,0.43133331777868483,0.5114584947516966,0.5156318085863111
10,4.077387057790655e-09,0.05900820572964376,0.10392582361647174,0.16655510640031052,0.2896112916623543,0.32033296304300635,0.3973925438924871,0.4633824220003094,0.5253355717019045,0.6154541615736239,0.6664761250723739
11,4.340407080378275e-09,0.05325124371351466,0.11118277422123808,0.18735728761551473,0.2431671691474488,0.2373794178646463,0.34380030607145284,0.3618312968386459,0.45254223102340174,0.5323027713518963,0.5479875668723498
12,4.300044019870333e-09,0.044794200969680766,0.07401613214604534,0.16720503757341534,0.24589424329973822,0.1998028400912117,0.3047847482687957,0.3297246039550787,0.3924093947786625,0.4851536941037571,0.46196807566040893
13,4.246787194305679e-09,0.04841339199238298,0.10566007684328728,0.20752893388118765,0.2869557850624905,0.337017860227771,0.48796480419394794,0.5454043566995879,0.6835758463141466,0.7951143939102353,0.8775307686299594
14,3.820052693385148e-09,0.0504948313242784,0.09929223791568342,0.21136138709418617,0.2663936740145419,0.25735978580482544,0.41616228803823313,0.4120536601120932,0.539159924698964,0.6151116217497549,0.6643225439583768
15,4.354792073167966e-09,0.049835254553000474,0.07168346499388752,0.14837444589561796,0.2816576955082388,0.20662938161710676,0.32859094636707836,0.382712873499691,0.43375184985300663,0.5167512631760883,0.5162997525733303
16,3.87152417256266e-09,0.05138662837407283,0.09895718892304606,0.21574325212991383,0.2706905699771101,0.2710933388833139,0.4410949144631411,0.462158482677751,0.5947288073945478,0.7078634491639619,0.7458748125042444
17,4.1489321095582774e-09,0.06696036630788582,0.0758088311936047,0.20363990166780196,0.27440275235631323,0.283423443500981,0.3901349776619026,0.39764912116586193,0.5116916839774238,0.566277422937032,0.5772754763663849
18,4.209907987252592e-09,0.05184303929374874,0.09754545342232415,0.21304037917013657,0.29352881046122176,0.2997351870830255,0.4637144383650818,0.4976961618165238,0.6528699255874701,0.7657482660035387,0.8656162213339563
19,3.6888061537589893e-09,0.06599509051911266,0.09248334465663374,0.18599045669808098,0.22554010940662397,0.20802795615351646,0.30859964425681313,0.33616193839897107,0.4388709288463319,0.5244782483100633,0.5064475701969706
20,4.426712307636913e-09,0.08293606238525866,0.09495636338972613,0.20618897602442351,0.25734930275927353,0.20715489050072103,0.3329000969969704,0.33857274229508466,0.46997216000083464,0.564675445833529,0.521069118933209
21,4.251372597955187e-09,0.06409474084859193,0.11270363104168202,0.2205466247151574,0.294824752761098,0.3057258120021025,0.4280373570956507,0.4855118911046457,0.6195525411554892,0.7348576284840772,0.8228505807270373
