,Degradation0.0,Degradation0.1,Degradation0.2,Degradation0.3,Degradation0.4,Degradation0.5,Degradation0.6,Degradation0.7,Degradation0.8,Degradation0.9,Degradation1.0
0,3.889236967900841e-08,0.13888612523515323,0.2765533189998232,0.5637025492802806,1.0514901262132297,1.270221071294792,2.2014988975780065,2.4438013410000186,2.8888573336127306,3.3082904991416964,3.29965572547922
1,4.0967918322234183e-08,0.17187277993826797,0.282269679730107,0.5721335773543643,1.0240111058212524,1.3503113377243965,2.2372232308159585,2.4419855182242114,2.974936012975169,3.5057866980456946,3.5571412158756535
2,4.3533217370130736e-08,0.17530337976685664,0.31180143130823856,0.5874456474221578,1.1113391057370536,1.3961866515360457,2.439764213828753,2.7720591498641003,3.310403624114246,4.109850449576384,4.315221013363428
3,4.153229487760851e-08,0.16324120874588494,0.30529948674951296,0.5352875555199513,1.0458259428777128,1.2940501470480372,2.2008956198438807,2.4739496422139453,2.9332958089681704,3.68492213329338,3.8844111525192084
4,4.295916812297492e-08,0.21000310649922227,0.264514556859307,0.4818948599682446,1.124219471522451,1.0537639895968895,1.6149483795416741,2.0073031714635787,2.091766248832565,2.542254301364381,2.521083946357562
5,4.127268240545332e-08,0.16110576500931426,0.3054848615743366,0.5335999320794819,1.047885306340554,1.2794201850503353,2.1956750109333836,2.457286212955034,2.919025093953212,3.6669514984262723,3.8696998656627724
6,4.29897752552446e-08,0.17186464441878405,0.16387764660234272,0.44600666925377136,0.9612231009155011,1.2416365430031036,1.9478185362378282,2.0323607390621574,2.3522914410577394,2.992279334565863,3.058061162227282
7,4.2499442469871315e-08,0.11094504258725825,0.16204850657148023,0.3244027168700714,0.5129091779303782,0.6143320226489424,1.0511123937532563,1.095052927776832,1.2979906080005406,1.8395824547414672,1.8145029652350906
8,3.345666554027514e-08,0.19000022012446233,0.17753630030286932,0.43161699710159085,0.9591283900758866,1.2093762490501088,1.8483534892379332,1.849606381783107,2.117446635017464,2.6017526494359045,2.4732022189778853
9,3.945043176031371e-08,0.15017422326334695,0.1996170354902036,0.44108785365707354,0.8432275319821995,1.2560386878103107,2.00390362228733,2.149688905833838,2.69087335859526,3.312143596108299,3.319892421489535
10,4.271214125068303e-08,0.1559979365604094,0.2620054597188845,0.5053017301230056,0.9774180820421287,1.3378445103797447,2.2984582035557453,2.507437967054775,3.1495671682218958,4.057255826924387,4.259785386684846
11,4.1991198962173496e-08,0.17453063492956042,0.18069789677494447,0.4302130075463689,0.9448393193009248,1.2316258606297714,2.1239206728223885,2.138545391831489,2.581930720854116,3.240899077127255,3.2839626556937858
12,4.316603109576566e-08,0.18146215713332245,0.20773878916608923,0.3472826066398953,0.9636053875210111,0.6775887937301591,1.0908297945502983,1.3882109857255063,1.4874482456006717,1.9630665342756302,1.9393743871563458
13,4.207132911653325e-08,0.18254915620532816,0.1981848545515549,0.3571049238139948,0.9728584885400614,0.6873806184843667,1.0981282619654862,1.400491157509238,1.4891232338881775,1.9680444383109021,1.9040642733355888
14,4.1904510550602286e-08,0.19025003673844598,0.18573783924628143,0.3725706306935034,1.0088464201710088,0.7100752721808025,1.1287427983020881,1.4005646649411216,1.5483014144452882,1.938484569003935,1.7651709522947503
15,3.692513277648164e-08,0.18995742000228852,0.21412011651243618,0.36493803736543956,0.9528649146898033,0.6979691855848291,1.1019303115988692,1.384985378715444,1.5059265557377262,1.948583808316339,2.238627933802187
16,3.926334750160019e-08,0.12411010245546486,0.2865228397571561,0.4725012931600122,0.8116483452255511,1.1402067248806567,1.5825008225235677,2.0237855696546942,2.3531433202814145,2.8233285631576965,3.0800510661134743
17,3.582861074008559e-08,0.12356104944567882,0.21294107216019573,0.4158226169997716,0.7991590281400233,1.1010317731339792,1.444794483564026,1.850333062073414,2.1811082701734033,2.458038944154488,2.375821490450972
18,4.225656165148298e-08,0.12990913898422018,0.24444073885750153,0.45582497338571226,0.8313163702111431,1.1089621012948772,1.4999308669648015,1.8826185101748616,2.142227497607612,2.5007207118089565,2.5616500004392013
19,3.982072269509613e-08,0.13121771771350924,0.2094971347765888,0.3329242299824858,0.8310975457840697,0.860842121701612,1.0047934999600039,1.4399522607356492,1.6130414185534199,2.075667863951437,1.9394779038143815
20,4.1716858352351985e-08,0.14746510427795076,0.32113137361275224,0.5498306752555379,0.9613129692342732,1.2140584280238562,1.5702857367781504,2.168349387544702,2.4340630894800177,2.9988229407678437,3.294372252734689
21,4.1631074708141045e-08,0.1626098787811543,0.39418539969432237,0.5556440834128953,0.9176388846043323,0.9673868492391415,1.2039469245662229,1.6042853199733158,1.7691576119467194,1.99007325947069,2.178317519545119
22,4.177938208013734e-08,0.13299438315921677,0.32799573466995274,0.37151042671305806,0.8432678530497737,0.827447048354143,0.7902230528926885,1.28576856741024,1.4287421230753181,1.6241419755982156,1.5606584015276121
23,3.5513547034804915e-08,0.14928467499224912,0.3583878146389733,0.4480715497755595,0.8815600081793766,0.8368756830411999,0.9507195378795974,1.3210415428653015,1.5374170067345712,1.7205809178507698,1.8488686313705978
24,4.2480211253365936e-08,0.19420838815509092,0.43116219188510696,0.6231762753074118,1.0215319371361706,1.3190731383480192,1.4638887386624382,1.8818373255531005,2.1344344525777195,2.437027897426201,2.5980726085238444
25,3.672096055146755e-08,0.09277305154905338,0.23071749547669784,0.3270286250630428,0.7882401898796022,0.8981720091208482,0.7292107456984775,1.1667108685136915,1.3002997238878162,1.5988500895495938,1.4444630865490775
