,Obj Value,Regup Value,RegUpDispatch Value,Regdown Value,RegdownDispatch Value,Cost of Charging,Cost of RD,Degradation Cost,Objective Recalc
0,879.3935947203628,296.7252208052744,0.0,582.6683747781747,0.0,5.396197552737193e-07,0.0,3.2346643221213273e-07,879.3935947203628
1,527.3075826215207,287.3145335676571,1.3816593527010865,5.7333211491537664e-11,8.738285105071155e-17,6.486658253893093,1.3250494518487481e-11,4.174956549484911,278.0345781170243
2,751.7070937545411,261.1645245104082,1.7382007525737742,4.038215697463408e-09,5.3054814480939346e-11,10.95479224210796,8.685712690014479e-10,7.050746269360326,244.8971867547364
3,901.6544572247487,250.71889437121027,5.672155978954879,1.0392321641294327e-08,1.6534987950911604e-10,23.009427584641234,2.4444585545909144e-09,15.884979056241509,217.4966437173956
4,1129.244960312998,251.48307862959132,4.920777485603162,1.346818770503817e-09,1.8105931729931582e-11,32.3159413134787,3.3680613786538667e-10,20.79925371742812,203.28866108531577
5,1404.8110148887602,228.80790538117236,3.598747534200127,6.041404460408096e-08,9.214375617804686e-10,32.62589225269839,1.4554431237092517e-08,20.998744654529208,178.7820160549259
6,1483.7687801690693,219.28488930881628,7.421491255362154,2.2674413933920738e-07,2.3320568615983743e-09,50.56781145056122,5.6482042871481054e-08,32.5465593738112,143.5920099124002
7,1744.2762368967562,201.6678775146971,5.396873112698936,9.976477749773186e-10,2.2730652767189736e-11,51.717459802322765,2.5139030641003266e-10,34.362104990536345,120.98518583530591
8,1774.6550615476049,188.18917357038,9.425656105505707,5.301238340032654e-09,5.3032381998863824e-11,66.49701645354678,1.426823330911007e-09,43.874554128659675,87.24325909760671
9,1932.4092526732363,184.72813664707388,10.118067422482744,1.5452084171194587e-06,1.438942651898463e-08,79.85757473251329,3.352086220706931e-07,51.398094483460184,63.590536077972374
10,2659.0105063632523,157.73041838667336,10.767862517673299,569.6734291854392,0.0,81.98194704185315,0.0,53.84099756027938,602.3487654876534
