,Obj Value,Regup Value,RegUpDispatch Value,Regdown Value,RegdownDispatch Value
0,1033.0433802963894,344.4353053166308,0.0,688.6080777893897,0.0
1,624.4110080122119,333.58057780457307,1.5664838603606444,1.5916127658289027e-09,6.797358066249238e-12
2,908.7995245963093,324.8299021797061,0.9490088945100321,1.1725933367683048e-11,1.637556291356342e-13
3,1162.556724056014,305.7307580134907,2.8728954076667605,1.943379198984735e-10,2.6213500258283046e-12
4,1330.0794517424954,270.6487174173991,4.755369722204659,9.701809738612146e-08,1.2272295288565658e-09
5,1625.2323463155874,270.67018712672774,4.715757993901296,3.146348022200615e-12,2.2769263504543798e-14
6,1758.164987129582,260.8824052390678,9.336803651637798,1.0035232149229521e-13,1.0043436028536225e-15
7,1954.3839371285005,234.39170385102136,8.936519224004561,1.8309332876095794e-11,2.3458972505026915e-13
8,2163.3605460213994,241.3993917900425,9.787112782711962,1.948023696580211e-10,3.191337638095717e-12
9,2244.6637630169516,208.89496876506968,12.354022889622843,3.845306912659611e-08,1.8468935332336914e-10
10,3115.272331637862,183.01167113431637,12.7048752430299,670.6691237454842,0.0
