,Cycles0.0,Cycles0.1,Cycles0.2,Cycles0.3,Cycles0.4,Cycles0.5,Cycles0.6,Cycles0.7,Cycles0.8,Cycles0.9,Cycles1.0
0,1.0867053564690071e-08,0.03880665988674064,0.077272733851596,0.1575061084767858,0.2938005479894744,0.35491692932788255,0.6151285365236787,0.6828311129738731,0.8071857704793286,0.9243810639065352,0.9219683914804642
1,1.144698989842877e-08,0.048023576894812826,0.07886996227361766,0.1598618516326451,0.28612253842180335,0.3772952318711335,0.6251103979032695,0.6823237475566578,0.8312373165057019,0.97956417025942,0.9939133163940719
2,1.2163769112269952e-08,0.04898213283789312,0.08712153266923407,0.16414025089158277,0.3105231614904067,0.39011341437332325,0.6817030850964335,0.7745507798749904,0.9249714995743823,1.1483477439668013,1.2057310542588704
3,1.1604684333314758e-08,0.04561179928215454,0.08530480151149102,0.14956657530402323,0.2922178986365216,0.36157509504894275,0.6149599725738542,0.6912549556679577,0.819602480903671,1.029617031173713,1.0853569584495928
4,1.200337199661209e-08,0.05867770531632328,0.07390894105333502,0.13464793477601364,0.31412210971798826,0.29443589614112886,0.45123839687662476,0.5608676268610209,0.58446775186196,0.7103402003015936,0.7044249170791683
5,1.1532145100960016e-08,0.04501512745009026,0.08535659774215347,0.14909503051320772,0.29279331261218217,0.3574872860007783,0.6135012639084036,0.6865989683927531,0.8156150503162856,1.0245957929898706,1.0812464261371146
6,1.2011924042902436e-08,0.048021303720749677,0.04578962861818639,0.12462028940359784,0.2685787215198701,0.3469300259164704,0.5442468160796408,0.5678690498018699,0.6572620105360518,0.8360832748844591,0.854463606313986
7,1.1874918437763104e-08,0.030999543881824364,0.0452785421799787,0.09064250211168755,0.14331375425033444,0.17165266739284632,0.29369500443659935,0.3059725833251135,0.362676113078799,0.5140041925274956,0.5069966443094199
8,9.348244386310175e-09,0.053088628603410896,0.04960604100473447,0.12059962058483788,0.2679934310095592,0.33791606391587103,0.516454938071609,0.5168050131766123,0.5916431987307541,0.7269648426373575,0.691046115517337
9,1.1022983650206057e-08,0.04196070698976563,0.05577569674977923,0.12324590586756458,0.23560916531701545,0.35095417976356336,0.5599177468897308,0.6006521248234703,0.7518663728899767,0.9254576712583525,0.9276227977645621
10,1.1934349350903702e-08,0.04358793116939009,0.07320786541178832,0.14118813054842044,0.27310381805769296,0.37381183187123085,0.642220276634952,0.7006120460905929,0.8800316207302182,1.1336520957897658,1.190241591171887
11,1.1732908334813806e-08,0.04876621748976591,0.0504894337754897,0.12020732693374936,0.26400087157482344,0.34413290600662816,0.593452132364436,0.5975384764507469,0.7214263279767293,0.9055509900674799,0.9175835357527151
12,1.2061172306143791e-08,0.05070297844557303,0.05804502446016311,0.09703545244448972,0.26924436458462003,0.18932746389772326,0.30479258284269667,0.3878849055863161,0.41561313679405737,0.548507312747719,0.5418874067370358
13,1.1755297782583667e-08,0.05100670067277973,0.05537552604526637,0.09977994057265654,0.2718298060283637,0.192063432031788,0.30683187324838784,0.39131615150058696,0.41608115115242084,0.5498982063918362,0.5320212838591446
14,1.1708686421370185e-08,0.05315843074064028,0.05189766179684722,0.10410126803258056,0.2818853203604459,0.1984046249029534,0.3153859883350694,0.3913366904702171,0.4326163343588615,0.5416387795228833,0.49321261336707267
15,1.0317380994706969e-08,0.05307666967100136,0.05982805353910355,0.10196861833244329,0.266243331360619,0.19502202074221425,0.30789421728560096,0.3869836274063983,0.42077622630754385,0.5444606434379986,0.6255028908966204
16,1.0970709780618536e-08,0.03467803948265607,0.0800583526497918,0.13202324529293355,0.22678551386954215,0.3185891643106957,0.44217211104551446,0.5654730316099651,0.6575000371009213,0.7888761466523319,0.8606078825662663
17,1.0010997922584461e-08,0.034524626653444496,0.059498612616971785,0.11618645738588308,0.2232958299321789,0.30764315349832116,0.40369509938431963,0.5170080574679308,0.6094311197282434,0.6868092916600623,0.6638366242519673
18,1.1807054255532872e-08,0.036298368639806705,0.06830004508546604,0.1273636562335652,0.2322810257859953,0.30985899433345965,0.41910094985639584,0.5260290478774665,0.5985673065536753,0.6987351542178046,0.7157596206791709
19,1.1126447940400016e-08,0.03666400321703005,0.058536329980815135,0.09302352800980346,0.2322198832845253,0.24053091967605136,0.2807528796943227,0.4023421169026032,0.4507055662114797,0.5799696456202456,0.5419163306899087
20,1.1656253861802632e-08,0.041203742542230075,0.08972844460634193,0.15363011945082333,0.26860383194234955,0.33922432798224506,0.4387590510497288,0.6058661155360067,0.6801101139252759,0.83791164686822,0.920492117810429
21,1.163228475258382e-08,0.04543539716008419,0.11014072652942501,0.15525446423518102,0.2564007026144254,0.2703009560801474,0.33639903729925136,0.44825899396419766,0.4943265399377521,0.556053356656172,0.6086513462967565
22,1.1673723836106469e-08,0.03716042754715921,0.0916464398303828,0.10380503271598542,0.23562043156807527,0.2311998849805858,0.22079899771375164,0.3592611098053857,0.39920985297968475,0.4538072118298695,0.43606904350541353
23,9.922964866490613e-09,0.041712155184098335,0.1001383976023452,0.12519724492006945,0.24631977707813846,0.233834372902813,0.26564388409357487,0.3691168557221237,0.4295750837848156,0.480753555285671,0.5165988757435817
24,1.1869544976037759e-08,0.054264447607896484,0.12047254186246065,0.17412387108067698,0.2854298251950434,0.3685668569048022,0.4090302922420666,0.5258107743395295,0.5963898244801776,0.6809385213230792,0.7259365894853468
25,1.0260332516458868e-08,0.025922044063246195,0.06446558546957476,0.09137621633955527,0.2202449589973532,0.2509613945866002,0.2037513347439462,0.3259947801403191,0.3633213112562617,0.4467403171481923,0.4036025025808246
