INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,OPR_TYPE,ANC_TYPE,ANC_REGION,MARKET_RUN_ID,XML_DATA_ITEM,MW,GROUP
2019-07-04T17:00:00-00:00,2019-07-04T18:00:00-00:00,7/4/2019,11,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,5,4
2019-07-04T13:00:00-00:00,2019-07-04T14:00:00-00:00,7/4/2019,7,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,15.6081,4
2019-07-05T08:00:00-00:00,2019-07-05T09:00:00-00:00,7/5/2019,2,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,16.92302,5
2019-07-06T06:00:00-00:00,2019-07-06T07:00:00-00:00,7/5/2019,24,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,10.94,5
2019-07-05T10:00:00-00:00,2019-07-05T11:00:00-00:00,7/5/2019,4,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,16.93721,5
2019-07-06T02:00:00-00:00,2019-07-06T03:00:00-00:00,7/5/2019,20,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,3.13,5
2019-07-05T07:00:00-00:00,2019-07-05T08:00:00-00:00,7/5/2019,1,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,19.14888,5
2019-07-05T13:00:00-00:00,2019-07-05T14:00:00-00:00,7/5/2019,7,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,13.59114,5
2019-07-05T20:00:00-00:00,2019-07-05T21:00:00-00:00,7/5/2019,14,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,15.22278,5
2019-07-05T21:00:00-00:00,2019-07-05T22:00:00-00:00,7/5/2019,15,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,12,5
2019-07-05T22:00:00-00:00,2019-07-05T23:00:00-00:00,7/5/2019,16,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,12.7725,5
2019-07-06T01:00:00-00:00,2019-07-06T02:00:00-00:00,7/5/2019,19,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,9.73456,5
2019-07-05T14:00:00-00:00,2019-07-05T15:00:00-00:00,7/5/2019,8,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,19.21336,5
2019-07-06T04:00:00-00:00,2019-07-06T05:00:00-00:00,7/5/2019,22,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,7.2391,5
2019-07-05T15:00:00-00:00,2019-07-05T16:00:00-00:00,7/5/2019,9,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,23.72133,5
2019-07-05T18:00:00-00:00,2019-07-05T19:00:00-00:00,7/5/2019,12,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,9.46135,5
2019-07-05T17:00:00-00:00,2019-07-05T18:00:00-00:00,7/5/2019,11,0,Hourly,RD,AS_CAISO_EXP,DAM,RD_CLR_PRC,22.11052,5
