INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,OPR_TYPE,ANC_TYPE,ANC_REGION,MARKET_RUN_ID,XML_DATA_ITEM,MW,GROUP
2019-07-02T11:00:00-00:00,2019-07-02T12:00:00-00:00,7/2/2019,5,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,3.01,2
2019-07-02T22:00:00-00:00,2019-07-02T23:00:00-00:00,7/2/2019,16,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,7.12868,2
2019-07-02T10:00:00-00:00,2019-07-02T11:00:00-00:00,7/2/2019,4,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,3.01,2
2019-07-02T08:00:00-00:00,2019-07-02T09:00:00-00:00,7/2/2019,2,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,3,2
2019-07-03T04:00:00-00:00,2019-07-03T05:00:00-00:00,7/2/2019,22,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,6.01,2
2019-07-02T12:00:00-00:00,2019-07-02T13:00:00-00:00,7/2/2019,6,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,4.89,2
2019-07-03T02:00:00-00:00,2019-07-03T03:00:00-00:00,7/2/2019,20,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,16.79561,2
2019-07-03T03:00:00-00:00,2019-07-03T04:00:00-00:00,7/2/2019,21,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,6.37005,2
2019-07-02T15:00:00-00:00,2019-07-02T16:00:00-00:00,7/2/2019,9,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,3.01,2
2019-07-02T14:00:00-00:00,2019-07-02T15:00:00-00:00,7/2/2019,8,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,3.01,2
2019-07-02T16:00:00-00:00,2019-07-02T17:00:00-00:00,7/2/2019,10,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,2.97724,2
2019-07-02T18:00:00-00:00,2019-07-02T19:00:00-00:00,7/2/2019,12,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,3.01,2
2019-07-02T20:00:00-00:00,2019-07-02T21:00:00-00:00,7/2/2019,14,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,3.01,2
2019-07-03T05:00:00-00:00,2019-07-03T06:00:00-00:00,7/2/2019,23,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,4.01,2
2019-07-02T07:00:00-00:00,2019-07-02T08:00:00-00:00,7/2/2019,1,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,3.01,2
2019-07-02T17:00:00-00:00,2019-07-02T18:00:00-00:00,7/2/2019,11,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,2.97,2
2019-07-03T00:00:00-00:00,2019-07-03T01:00:00-00:00,7/2/2019,18,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,5.59,2
2019-07-03T12:00:00-00:00,2019-07-03T13:00:00-00:00,7/3/2019,6,0,Hourly,RU,AS_CAISO_EXP,DAM,RU_CLR_PRC,3.51888,3
